img,cat,pair,type,jitter,run
OL_007b.jpg,2,7,4,2,4
OU_047.jpg,2,86,6,2,4
SU_096.jpg,1,0,1,2,4
SL_052a.jpg,1,52,4,2,4
SU_114.jpg,1,990,990,2,5
OL_011b.jpg,2,11,2,2,5
SU_079.jpg,1,87,7,2,5
SL_023a.jpg,1,23,2,6.5,5
OU_088.jpg,2,87,7,2,5
OU_078.jpg,2,89,6,2,5
OL_017a.jpg,2,17,4,6.5,5
SL_053b.jpg,1,53,2,6.5,5
OL_020b.jpg,2,20,2,2,5
SL_009a.jpg,1,9,5,2,5
OU_016.jpg,2,0,1,2,5
OU_089.jpg,2,85,7,2,5
SU_070.jpg,1,0,1,2,5
SL_018a.jpg,1,18,5,2,5
OL_049b.jpg,2,49,5,2,5
SL_036b.jpg,1,36,2,11,5
OL_058a.jpg,2,58,5,6.5,5
SU_047.jpg,1,0,1,2,5
OL_007a.jpg,2,7,5,2,5
OU_047.jpg,2,86,7,11,5
SL_052b.jpg,1,52,5,6.5,5
SU_060.jpg,1,88,6,2,5
SU_082.jpg,1,85,7,2,5
OL_033b.jpg,2,33,2,2,5
OU_077.jpg,2,88,6,11,5
OU_070.jpg,2,0,1,2,5
SU_049.jpg,1,89,6,2,5
OU_053.jpg,2,0,1,6.5,5
SU_065.jpg,1,0,1,2,5
OL_030a.jpg,2,30,2,2,5
SL_015a.jpg,1,15,4,2,5
SU_034.jpg,1,90,6,6.5,5
OL_042b.jpg,2,42,4,2,5
SL_013b.jpg,1,13,4,2,5
SU_081.jpg,1,86,7,2,5
SL_031a.jpg,1,31,2,2,5
OU_045.jpg,2,90,6,2,5
SU_064.jpg,1,0,1,2,5
OU_068.jpg,2,0,1,6.5,5
SL_027a.jpg,1,27,4,2,5
OL_036a.jpg,2,36,4,2,5
OU_113.jpg,2,990,990,2,6
SU_066.jpg,1,0,1,6.5,6
OL_016b.jpg,2,16,2,2,6
SL_034b.jpg,1,34,2,2,6
OL_056b.jpg,2,56,2,2,6
OL_017b.jpg,2,17,5,2,6
OU_078.jpg,2,89,7,2,6
SL_035a.jpg,1,35,2,6.5,6
SL_022b.jpg,1,22,2,2,6
SU_041.jpg,1,0,1,2,6
OU_069.jpg,2,0,1,2,6
SU_074.jpg,1,0,1,2,6
SU_060.jpg,1,88,7,2,6
OL_034b.jpg,2,34,2,11,6
SL_013a.jpg,1,13,5,2,6
OU_077.jpg,2,88,7,6.5,6
SU_034.jpg,1,90,7,11,6
